visual_type,strongest_dn,strongest_activity,total_activity,active_dns,strongest_share
T4a,DNb03,15,68,19,0.22058823529411764
T4b,DNp15,7,56,19,0.125
T4c,DNa10,1,2,2,0.5
T4d,DNp31,2,3,2,0.6666666666666666
T5a,DNb03,8,25,8,0.32
T5b,DNb03,10,68,22,0.14705882352941177
T5c,DNp31,1,1,1,1.0
T5d,DNa10,1,2,2,0.5
